Label,Parent,Value
Community Infrastructure,,707
Clean drinking water,Community Infrastructure,111
Broadband,Community Infrastructure,100
Electric,Community Infrastructure,100
Housing,Community Infrastructure,213
Schools and VA hospitals,Community Infrastructure,155
Other,Community Infrastructure,28
Transportation,,621
Electrifying vehicles,Transportation,174
Bridge and road repair,Transportation,115
Modernizing public transit,Transportation,85
Rail service,Transportation,80
Ports,Transportation,42
Redress historic inequities,Transportation,45
Infrastructure,Transportation,50
Other,Transportation,30
Workforce Development,,580
Research & development,Workforce Development,180
Manufacturing,Workforce Development,300
Workforce development,Workforce Development,100
Elder care,,400
Home/community-based care,Elder care,400